jahr;nr;von;bis;name;wert
2020;999;20200101;20201231;anzahl;3
2020;999;20200101;20201231;risiko;high_risky
2020;1;20200101;20201231;aufteilung;0.5
2020;2;20200101;20201231;aufteilung;0.3
2020;3;20200101;20201231;aufteilung;0.2
2020;1;20200101;20201231;laufzeit;5
2020;2;20200101;20201231;laufzeit;10
2020;3;20200101;20201231;laufzeit;20
2021;999;20210101;20211231;anzahl;3
2021;999;20210101;20211231;risiko;high_risky
2021;1;20210101;20211231;aufteilung;0.5
2021;2;20210101;20211231;aufteilung;0.3
2021;3;20210101;20211231;aufteilung;0.2
2021;1;20210101;20211231;laufzeit;5
2021;2;20210101;20211231;laufzeit;10
2021;3;20210101;20211231;laufzeit;20
2022;999;20220101;20221231;anzahl;3
2022;999;20220101;20221231;risiko;high_risky
2022;1;20220101;20221231;aufteilung;0.5
2022;2;20220101;20221231;aufteilung;0.3
2022;3;20220101;20221231;aufteilung;0.2
2022;1;20220101;20221231;laufzeit;5
2022;2;20220101;20221231;laufzeit;10
2022;3;20220101;20221231;laufzeit;20
