vsnr;histnr;von;bis;name;wert
20210108121957753;1;20200701;20240631;antragsnummer;20210108121956822
20210108121957753;1;20200701;20240631;jahr;2020
20210108121957753;1;20200701;20240631;tkz;20200101767
20210108121957753;1;20200701;20240631;status;offen
20210108121957753;1;20200701;20240631;sra;N
20210108121957753;1;20200701;20240631;beginn;20200701
20210108121957753;1;20200701;20240631;anzahl;4
20210108121957753;1;20200701;20240631;lauftzeit;4
20210108121957753;1;20200701;20240631;ende;20240631
20210108121957753;1;20200701;20240631;vertriebsnummer;007
20210108121957753;1;20200701;20240631;zw;12
20210108121957753;1;20200701;20240631;vsnr;20210108121957753
20210108121957753;1;20200701;20240631;histnr;1
20210108121957753;1;20200701;20240631;von;20200701
20210108121957753;1;20200701;20240631;bis;20240631
20210108121957753;1;20200701;20240631;gevo;Neuzugang
20210108121957753;1;20200701;20240631;bruttojahresbeitrag;4800.0
20210108121957753;1;20200701;20240631;versicherungssumme;96000.0
20210108121957310;1;20200701;20260631;antragsnummer;20210108121956196
20210108121957310;1;20200701;20260631;jahr;2020
20210108121957310;1;20200701;20260631;tkz;20200101709
20210108121957310;1;20200701;20260631;status;offen
20210108121957310;1;20200701;20260631;sra;N
20210108121957310;1;20200701;20260631;beginn;20200701
20210108121957310;1;20200701;20260631;anzahl;3
20210108121957310;1;20200701;20260631;lauftzeit;6
20210108121957310;1;20200701;20260631;ende;20260631
20210108121957310;1;20200701;20260631;vertriebsnummer;007
20210108121957310;1;20200701;20260631;zw;12
20210108121957310;1;20200701;20260631;vsnr;20210108121957310
20210108121957310;1;20200701;20260631;histnr;1
20210108121957310;1;20200701;20260631;von;20200701
20210108121957310;1;20200701;20260631;bis;20260631
20210108121957310;1;20200701;20260631;gevo;Neuzugang
20210108121957310;1;20200701;20260631;bruttojahresbeitrag;1800.0
20210108121957310;1;20200701;20260631;versicherungssumme;36000.0
